Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Case Expected Result;subkind;SPO:Information Item   ;The result expected from the execution of a test case.;;3
CORE;COM;2.Core:COM:Measure;Rational Scale;;COM:Scale   UFO:Rational MeaRefDimension   ;Scale in which it is possible to quantify the distance between its Scale Values, there is a value to represent nonentity (absolute zero) and it is possible to establish relations between Scale Values.; the measure distance in kilometers has a rational scale, since 0km means the absence of distance, it is possible to quantify the distance between scale values (e.g., there are 10km between the distances 20km and 30km) as well as establish other relations between them (e.g., we can say that 100km is twice longer than 50km).;0
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Driver;subkind;ROoST:Test Code   ;Software item used to invoke a module under test and, often, provide test inputs, control and monitor execution, and report test results (adapted from ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary).;;0
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Activity Universal;2ndOT;UFO:Action Universal (Plan)   ;Action Universal representing any generic activity in an Organization (formalized or not), which is the powertype of every Performed Activity.; a formalized standard Requirements Elicitation activity, a non-formalized generic (alternative) Requirements Elicitation activity.;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Anti-Rigid Sortal Universal;;UFO:Sortal Universal   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Atomic Action;;UFO:Atomic Event   UFO:Action   ;;;1
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Loaded Target Program Copy;;RRO:Loaded Program Copy   ;Loaded Target Program Copy is the materialization of a Target Program.;;3
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Test Coding;event;SPO:Performed Simple Activity   ;Simple Performed Activity for implementing the Test Cases as Code artifacts (Test Code) to be used during Test Execution.;;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-B;Complex Event;;UFO:Event   ;;;1
DOMAIN;CMPO;3.Domain:CMPO;Artifact Copy;category;SPO:Artifact   ;Copy of an Artifact that is under version control.;;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Unfulfilled;;;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Substantial;;UFO:Endurant   ;;;2
DOMAIN;DPO;3.Domain:DPO;Software Architecture;subkind;SPO:Model   ;Model describing the fundamental structures of a software, including its components, how they are connected, and its internal and external interfaces.;;4
DOMAIN;CMPO;3.Domain:CMPO;Request Evaluation;event;SPO:Performed Simple Activity   ;Activity for evaluating the Change Request for a set of Configuration Items, authorizing or rejecting it.;;5
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Testing Process;event;SPO:Performed Specific Process   ;Specific Performed Process for planning and executing the dynamic testing activities for the software in development.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Ordinal MeaRefDimension;;UFO:Measurement Reference Dimension   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Quality;;UFO:Intrinsic Moment   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Agent Participation;;UFO:Participation   ;;;1
DOMAIN;ROoST;3.Domain:ROoST:Testing Environment;Testing Environment;collective;;The set of resources (Hardware and Software Resources) that are used to perform testing activities of a Project.;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Function;;UFO:Set   ;;;1
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Test Execution;event;SPO:Performed Simple Activity   ;Simple Performed Activity for effectively executing the Test Cases, by running the Test Code and producing the Test Results.;;6
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Information Need Description;subkind;SPO:Information Item   ;Information Item that documents the description of an Information Need.; the record of the information need What is the delivered defects density?.;3
DOMAIN;RRO;3.Domain:RRO:Program Execution;Software Function;;UFO:Function   ;Software Functions are functional dispositions that constitute the complex disposition Loaded Program Copy. Each Software Function is an instance of a Software Function Universal. When the software development process is accomplished correctly, the Software Functions that constitute the Loaded Program Copy are instances of the exact Software Function Universals described by the Program Specification and successfully implemented by the Program.;;2
DOMAIN;RDPO;3.Domain:RDPO;Conceptual Model;subkind;SPO:Model   ;Model describing the Product Requirements under different and relevant views.; a class diagram.;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Complex Commitment;;UFO:Commitment   ;;;1
DOMAIN;SwO;3.Domain:SwO;System Specification;subkind;SPO:Document   ;;;2
DOMAIN;DPO;3.Domain:DPO;Architectural Element;subkind;;Model Element referring to an Architectural Component or Connector, and its Interfaces.;;2
DOMAIN;RDPO;3.Domain:RDPO;Requirements Verification and Validation;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for evaluating Documented Requirements and Conceptual Models registered in Requirements Documents, and for recording the identified problems.;;7
CORE;SPO;2.Core:SPO:Software Process Execution:Performed Process;Performed Organizational Process;event;SPO:Performed Process   ;Performed Process executed in the context of an Organization, regardless of specific Projects.; a performed Portfolio Management Process, a performed Human Resource Hiring Process.;1
DOMAIN;QAPO;3.Domain:QAPO;Quality Assurance Planning;event;SPO:Performed Composite Activity   SPO:Performed Activity   ;Activity for planning the quality assurance activities, resulting in a Quality Assurance Plan.;;4
DOMAIN;SPMO;3.Domain:SPMO;Corrective Action Register;subkind;SPO:Information Item   ;Information Item describing an action to eliminate the cause or reduce the likelihood of recurrence of a detected nonconformity or other undesirable situation. [ISO/IEC/IEEE 24765]; an additional developer shall be allocated for Project X, a new agreement on the requirements change shall be obtained from the client.;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Endurant;;UFO:Concrete Particular   ;;;1
CORE;COM;2.Core:COM:Measure;Derived Measure;;COM:Measure   ;Measure used to quantify an Indirectly Measurable Element.; the measure body mass index in kilos and meters can be used to quantify the indirectly measurable element body mass index.;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Atomic Action Universal;;UFO:Action Universal (Plan)   ;;;1
DOMAIN;CMPO;3.Domain:CMPO;Reviewed CR;phase;CMPO:Change Request (CR)   ;Change Request reviewed to check if the modifications done are correct.;;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Measurement Analyst;role;SPO:Stakeholder   ;Role played by the Stakeholder in charge of Software Measurement Analysis.; If John (a Person Stakeholder) was in charge of a software measurement analysis, then he played the role of measurement analyst.;1
CORE;COM;2.Core:COM:Measure;Derivative Measurement Procedure;;COM:Measurement Procedure   ;Measurement Procedure applicable to a Derived Measure.; Measurement procedure to collect data for the measure body mass index in kilos and meters: Obtain the values measured to the measures weight in kilos and and height in meters considering a same measurement date.  Apply the measurement formula to calculate the body mass index in kilos and meters. Record the measured value and the measurement date.;2
CORE;SPO;2.Core:SPO:Process Assets:Resources;Resource;rolemixin;UFO:Object   ;Software Product or Hardware Equipment when used by a process activity.; a Smartphone being used by a Testing activity.;1
DOMAIN;DPO;3.Domain:DPO;Detailed Design;event;SPO:Performed Composite Activity   ;Activity for refining a preliminary software design to the extent that it is sufficiently complete to be implemented. [ISO/IEC/IEEE 24765];;8
DOMAIN;RSRO;3.Domain:RSRO;Functional Requirement;mode;RSRO:Requirement   ;Requirement defining a function to be available in the product being built.; The need for the system to control client orders.;1
DOMAIN;RDPO;3.Domain:RDPO;Conceptual Modeling;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for modeling requirements, producing Conceptual Models that provide a more comprehensive view of the problem.;;3
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Stub;subkind;ROoST:Test Code   ;Skeletal or special-purpose test code substituting a software module, used to test a module that calls or is otherwise dependent on it (adapted from ISO/IEC/IEEE 24765:2017 Systems and software engineering - Vocabulary);;0
CORE;EO;2.Core:EO:Organizational Structure;Formal Organization Type;2ndOT;;;;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Closed Commitment;;UFO:Commitment   ;;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Kind;;UFO:Rigid Sortal Universal   ;;;0
DOMAIN;RDPO;3.Domain:RDPO;Requirements Elicitation;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for identifying requirements from the Stakeholders and other sources, and documenting them.;;4
CORE;COM;2.Core:COM:Measurement Planning;Indicator;;COM:Measure   ;Measure directly used to indicate the achievement of Measurement Goals.; the measure body mass index in kilos and meters could play the role of indicator when indicating the achievement of the measurement goal Check if the patient has a good body mass index.;1
DOMAIN;DPO;3.Domain:DPO;Data Definitions;subkind;SPO:Information Item   ;Information Item describing the high-level choices of how the software will manage data.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Relator Universal;;UFO:Moment Universal   ;;;0
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Code;subkind;SwO:Code   ;Code produced for implementing a Test Case.;;3
DOMAIN;CMPO;3.Domain:CMPO;Configuration Audit Report;subkind;QAPO:Evaluation Report   SPO:Document   ;Document reporting the results of a Quality Audit Performing, including Noncompliance and Corrective Action Registers.;;2
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Document;kind;SPO:Artifact   ;Any written or pictorial, uniquely identified, information related to the software development, usually presented in a predefined format.; a Requirements Document, a specification, a report.;2
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Execution;Measurement Context;;UFO:Situation   ;Situation in which a Software Measurement Execution was performed.; an example of measurement context for a software measurement execution that obtained the measured value 0.75 for the software-related measure schedule performance index to the Project P could be: measurement performed one month after substituting two of the team members with two members less experienced.   ;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Function;;UFO:Disposition   ;;;1
DOMAIN;RDPO;3.Domain:RDPO;Requirements Evaluation Document;subkind;SPO:Document   ;Document pointing out problems identified in Documented Requirements and Conceptual Models registered in a Requirements Document.;;1
DOMAIN;CMPO;3.Domain:CMPO;Change Request (CR);subkind;SPO:Information Item   ;Information Item describing a request for modification on a set of Configuration Items.; a request for changing the project planning replacing a developer, which affects the Project Plan and the Project Schedule.;1
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Simple Artifact;category;SPO:Artifact   ;Artifact that is not decomposed into other Artifacts.;;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Data Collection;event;;Activity for collecting and storing data for the Software-Related Measure indicated in the selected Software Measurement Plan Item. ;;2
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Target Program;;SwO:Program   ;Target Program is the role a Program plays when it is the targer of a RRT Program, i.e., the RRT Program are built to act over (monitor/change) the Target Program.;;2
DOMAIN;QAPO;3.Domain:QAPO;Noncompliance Register;subkind;SPO:Information Item   ;Information Item describing a noncompliance (a failure or refusal to conform to an applicable requirement) in a process or artifact, and related information to solve it.; a neglected activity in a process, a document wrongly specified.;4
DOMAIN;CMPO;3.Domain:CMPO;Configuration Management Planning;event;SPO:Performed Composite Activity   ;Activity for planning the Configuration Management Process, including, among others, the Configuration Management System Establishment and the Configuration Items Identification.;;6
DOMAIN;SPMO;3.Domain:SPMO:Estimated Process;Cost Estimated Process;;SPO:Project Process   ;A Project Process with cost estimated. ;;0
DOMAIN;QAPO;3.Domain:QAPO;Noncompliance Resolution;event;SPO:Performed Simple Activity   ;Activity for analyzing a noncompliance, planning and executing the applicable corrective actions to its resolution.;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Testing Level;2ndOT;;Levels in which testing activities are performed, such as Unit, Integration and System testing.;;2
DOMAIN;DPO;3.Domain:DPO;Design Document;subkind;SPO:Composite Artifact   SPO:Document   ;Document specifying the design of a software, by depicting the software architecture, components, interfaces and data models, as well as other information regarding the design choices and decisions.;;7
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Proposition;;;;;1
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Project Activity;;SPO:Intended Activity   ;Intended Activity defined to be performed within a Project, and thus that is part of a Project Process.; a project Requirement Process, a project Construction Process.;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Social Commitment;;UFO:Social Moment   UFO:Commitment   ;;;2
CORE;EO;2.Core:EO:Human Resource Management;OU Assignment Type;2ndOT;;;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:MLT;Entity;;;;;1
DOMAIN;DPO;3.Domain:DPO;Design Process;event;SPO:Performed Specific Process   ;Process for defining and specifying a solution to be implemented for a software product, considering the requirements for it. It is a refinement process starting with the software architecture, and going down to the design of its elements, interfaces, and other characteristics of a software, until achieving the design of implementation units.;;4
CORE;COM;2.Core:COM:Measure;Measure Unit;;UFO:Unit   ;Unit in which measures can be expressed.; meter, kilo, hour.;2
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Measurement Result Reporting;event;;Activity for communicating the Analysis Result Description to the relevant Stakeholders. ;;2
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Artifact Type;2ndOT;UFO:Object Kind   ;Object Kind which is the powertype of Artifact, classifying its specializations.; Document, Model, Software Product, Information Item, Software Item.;7
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Measurement Manager;role;SPO:Stakeholder   ;Role played by the Stakeholder in charge of Software Measurement Planning.; If John (a Person Stakeholder) was in charge of a software measurement planning, then he played the role of measurement manager. ;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Software Measurement Planning;event;SPO:Performed Composite Activity   COM:Measurement Planning   ;Activity for planning the software measurement, i.e., for determining the Software Measurement Goals to be monitored, the Information Needs to be considered, the Software-Related Measures to be collected to meet the Information Needs and the Operational Definition of Measure to be considered. ;;10
DOMAIN;RSRO;3.Domain:RSRO;Non-Functional Requirement;mode;RSRO:Requirement   ;Requirement defining criteria or capabilities for the product.; Being accessible from some specific browsers, Being in conformance with a standard, Performing a function in an established time.;0
DOMAIN;DPO;3.Domain:DPO;Design Documentation;event;SPO:Performed Composite Activity   ;Activity for registering the architectural and detailed design choices and decisions, producing a Design Document.;;4
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Test Planning;event;SPO:Performed Composite Activity   ;Composite Performed Activity for planning how the testing activities should be performed, and documenting it in a Test Plan.;;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Complex Action Universal;;UFO:Action Universal (Plan)   ;;;4
CORE;EO;2.Core:EO:Organizational Structure;Organizational Unit;kind;EO:Organization   ;;;2
CORE;SPO;2.Core:SPO:Software Process Execution:Artifact Participation;Artifact Participation;event;UFO:Object Participation   ;The participation of an Artifact in a Performed Activity.; when an artifact is created, changed or used by an activity.;2
DOMAIN;SPMO;3.Domain:SPMO:Estimated Process;Estimated Process;;SPMO:Duration Estimated Process   SPMO:Cost Estimated Process   SPO:Scheduled Process   SPO:Project Process   ;A Project Process with cost, duration and time estimated.;;1
CORE;EO;2.Core:EO;Team Membership;relator;UFO:Social Relator   ;;;3
CORE;SPO;2.Core:SPO:Standard Software Process Definition:Standard Process Structure;Standard Process;2ndOT;SPO:Process Universal   RSMO:Measurable Software-Related Entity   ;Complex Action Universal representing a generic process institutionalized in an Organization, establishing basic requirements for Intended Processes to be performed in that Organization or in its Projects.; Development, Training, Acquisition standard processes.;3
DOMAIN;DPO;3.Domain:DPO;Design Evaluation Document;subkind;SPO:Document   ;Document registering the issues identified in a Design Document evaluation.;;1
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Loaded RRT Program Copy;;RRO:Loaded Program Copy   ;Loaded RRT Program Copy is the materialization of a RRT Program.;;2
CORE;SPO;2.Core:SPO:Process Assets:Procedures;Composite Method Activity;2ndOT;SPO:Method Activity   UFO:Complex Action Universal   ;Method Activity composed of other Method Activities.;;1
CORE;SPO;2.Core:SPO:Process Assets:Resources;Hardware Resource;role;SPO:Resource   SPO:Hardware Equipment   ;Hardware Equipment when used as Resource of some process activity.; a specific Computer Dell I7 being used by the Project Planning activity.;1
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Software Product;kind;SPO:Artifact   SPO:Composite Artifact   ;One or more computer programs together with any accompanying auxiliary items, such as documentation, delivered under a single name, ready for use.; Astah modeling tool, Microsoft Word, Eclipse IDE.;2
DOMAIN;RSRO;3.Domain:RSRO;Requirements Document;subkind;SPO:Document   SPO:Composite Artifact   ;Document composed of Documented Requirements and related information, as a basis for other technical software processes, including maintenance.; the Requirements Document of the Alfa Project.;11
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Measurement Quality Domain;;UFO:Measurement Quality Structure   ;;;0
DOMAIN;ROoST;3.Domain:ROoST:Testing Stakeholders;Tester;role;SPO:Stakeholder   ;Stakeholder responsible for coding and executing test cases.;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Integration Testing;event;ROoST:Level-based Testing   ;Level-based Testing focusing on larger components, ensuring that a collection of units functions as desired.;;0
DOMAIN;DPO;3.Domain:DPO;Software Architect;role;SPO:Stakeholder   ;Stakeholder responsible for designing the Software Architecture.;;3
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Composite Artifact;category;SPO:Artifact   ;Artifact composed of other Artifacts.;;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Software Measurement Execution;event;SPO:Performed Composite Activity   COM:Measurement   ;Activity for measuring a Software-Related Measurable Entity by applying a Software-Related Measure and obtaining a Measured Value.; the software measurement execution that applied the software-related measure schedule performance index to measure the Project P and obtained the measured value 0.75.;14
DOMAIN;RSRO;3.Domain:RSRO;Stakeholder Belief;;UFO:Belief   ;The belief of Requirements Stakeholders regarding the environment of interest that are described in terms of Assumptions.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Usage;;UFO:Object Participation   ;;;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Selection of Measurement Goals for Analysis;event;;Activity for selecting the Software Measurement Goal to be monitored by using information provided by the Software Measurement Analysis.   ;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Social Moment;;UFO:Intentional Moment   UFO:Externally Dependent Moment   ;;;1
CORE;SPO;2.Core:SPO:Process Assets:Procedures;Method Workflow;2ndOT;UFO:Complex Action Universal   ;Complex Action type denoting a set of steps (Method Activities) to be used when a Method is adopted.; the steps for using a OO Method for the software design phase.;2
DOMAIN;QAPO;3.Domain:QAPO;Process Evaluation;event;SPO:Performed Simple Activity   ;Activity for objectively evaluating the adherence of processes and activities to the applicable requirements.;;2
DOMAIN;RRO;3.Domain:RRO:Program Execution;Machine;;UFO:Object   ;Machine is a hardware equipament able to run programs.;;1
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Input;subkind;SPO:Information Item   ;Descriptions of the parameters and values to be used in a test case, in order to produce an expected result.;;2
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Allocation;Stakeholder Allocation;relator;UFO:Social Relator   ;Social Relator representing a Stakeholder allocated to perform a Scheduled Activity acting an Organizational Role.; the allocation of Mary as a Project Manager to perform the scheduled Project Planning activity.;5
DOMAIN;SwO;3.Domain:SwO;Machine Code;subkind;SwO:Code   ;Computer instructions and data definitions expressed in a form output by an assembler, compiler, or other translator, which can be recognized by the processing unit of a computer machine.;;1
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Organizational Intended Process;mode;SPO:Intended Process   ;Intended Process defined to be performed in the context of an Organization, regardless of specific Projects.; an intended Portfolio Management Process, a intended Human Resource Hiring Process.;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Software Measurement Plan;subkind;SPO:Document   ;Document produced during Software Measurement Planning. It is composed of Software Measurement Planning Items.; the Software Measurement Plan defined for the Organization O.;7
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Plan Description;;UFO:Normative Description   ;;;1
DOMAIN;SPMO;3.Domain:SPMO;Project Manager;role;SPO:Person Stakeholder   ;Stakeholder responsible for managing a Project.;;1
DOMAIN;SPMO;3.Domain:SPMO:WBS;Work Package;;SPMO:Deliverable   ;;;2
DOMAIN;CMPO;3.Domain:CMPO;Configuration Auditor;role;SPO:Stakeholder   ;Stakeholder responsible for auditing the Configuration Management related results.;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Appointment;;UFO:Commitment   ;;;3
DOMAIN;RSRO;3.Domain:RSRO;Requirement;mode;UFO:Goal   ;Goal to be achieved, representing a condition or capacity needed for the system users for solving a problem.; Providing a product register, Performing a function in an established time.;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Measurement Quality Structure;;UFO:Quality Structure   ;;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Relator;;UFO:Moment   ;;;2
CORE;EO;2.Core:EO:Organizational Structure;Standalone Formal Organization;;EO:Formal Organization   ;;;1
CORE;SPO;2.Core:SPO:Software Process Execution:Stakeholder Participation;Stakeholder Participation;event;UFO:Action Contribution   ;The participation of a Stakeholder in a Performed Activity, playing an Organizational Role.; Mary acting as Programmer in a Coding Activity, the Quality Assurance Team acting as an Auditor in an Auditing activity.;4
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Social Object;;UFO:Object   ;;;1
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Target Program Copy Execution;;RRO:Program Copy Execution   ;A Target Program Copy Execution is the execution of a Loaded Target Program Copy. It brings about to an Execution State.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;xOrganization;;UFO:Social Agent   ;;;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Planning;Operational Definition of Measure;subkind;SPO:Information Item   ;Information Item that specifies information regarding data collection and analysis of a Software-Related Measure. An Operational Definition of Measure indicates: Measurement Procedure, Measurement Periodicity, Measurement Moment, Measurement Responsible, Measurement Analysis Procedure, Measurement Analysis Periodicity, Measurement Analysis Moment, and Measurement Analysis Responsible. ;;13
DOMAIN;SwO;3.Domain:SwO;Program;subkind;SPO:Software Item   ;Software Item which aims at producing a certain result through execution on a computer, in a particular way, given by the Program Specification. A Program is constituted by code, but it is not identical to code. Code can be changed without altering the identity of its program, which is anchored to the program's essential property: its intended specification (Program Specification).;;6
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Selection of Entity for Measurement;event;;Activity for selecting the Software-Related Measurable Entity to be measured in the Software Measurement Execution. The selected entity type must be the Software-Related Measurable Entity Type indicated in the Operational Definition of Measure defined in the selected Software Measurement Plan Item. ;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Object Participation;;UFO:Participation   ;;;1
CORE;SPO;2.Core:SPO:Software Process Execution:Stakeholder Participation;Stakeholder Main Participation;event;SPO:Stakeholder Participation   ;The participation of a Stakeholder as the main responsible for a Performed Activity, playing an Organizational Role.; Mary acting as the Project Manager in a Project Control activity.;1
CORE;SPO;2.Core:SPO:Software Process Execution:Resource Participation;Hardware Resource Participation;event;UFO:Usage   ;The participation of a Hardware Equipment as a Resource in a Performed Activity.; the use of a specific Computer in a Coding activity.;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Processual Role;;;;;2
DOMAIN;QAPO;3.Domain:QAPO;Noncompliance Identification;event;SPO:Performed Simple Activity   ;Activity for registering the noncompliances identified in processes and artifacts.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Closed Appointment;;UFO:Closed Commitment   UFO:Appointment   ;;;0
DOMAIN;ROoST;3.Domain:ROoST:Testing Environment;Test Software Resource;role;SPO:Software Resource   ;Software Resource that comprises the Testing Environment of a Project.;;2
CORE;SPO;2.Core:SPO:Process Assets:Procedures;Document Template;kind;SPO:Procedure   ;Procedure aiming to establish a uniform way for preparing a Document, providing a predefined format and a defined structure for filling with the expected information.; Project Plan Template, Test Report Template.;1
CORE;EO;2.Core:EO:Organizational Structure;Multi Formal Organization;;EO:Formal Organization   ;;;1
CORE;EO;2.Core:EO;Team Purpose;mode;UFO:Intention   ;;;1
DOMAIN;SwO;3.Domain:SwO;Source Code;subkind;SwO:Code   ;A well-formed sequence of computer instructions and data definitions expressed in a programming language, in a form suitable for input to an assembler, compiler, or other translator.;;2
DOMAIN;DPO;3.Domain:DPO;Interface High-level Design;event;SPO:Performed Simple Activity   ;Activity for specifying the Interfaces between Architectural Components and with external elements (users or other systems).;;2
CORE;SPO;2.Core:SPO:Process Assets:Stakeholders;Project Stakeholder;rolemixin;SPO:Stakeholder   ;Stakeholder interested in a particular Project.; the Project Team, the Project Client.;1
CORE;SPO;2.Core:SPO:Process Assets:Artifacts;Information Item;kind;SPO:Artifact   ;Relevant information for human use, produced or used by Performed Activity.; a documented requirement, a bug reported, an agreement e-mail, a component description.;0
DOMAIN;CMPO;3.Domain:CMPO;Change Request Closing;event;;Activity for closing a reviewed and approved Change Request.;;3
DOMAIN;ROoST;3.Domain:ROoST:Testing Environment;Test Hardware Resource;role;SPO:Hardware Resource   ;Hardware Resource that comprises the Testing Environment of a Project.;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Change;;UFO:Object Participation   ;;;0
DOMAIN;RSRO;3.Domain:RSRO;Assumption;;UFO:Proposition   ;Assumptions describe states-of-affairs in the environment of interest that the Stakeholders believe to be true, i.e., they are the propositional content of Stakeholders' Beliefs. They express the belief that a specific situation exists in the environment.;;2
CORE;SPO;2.Core:SPO:Software Process Execution:Performed Process;Performed Composite Activity;event;SPO:Performed Activity   ;Performed Activity composed of other Performed Activities.;;2
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Specific Project Process;;SPO:Project Process   ;;;2
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Appointment Goal;;UFO:Goal   ;;;2
CORE;EO;2.Core:EO:Organizational Structure;Formal Organization;kind;EO:Organization   ;;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Disposition;;;;;0
DOMAIN;CMPO;3.Domain:CMPO;Checkin;event;SPO:Performed Simple Activity   ;Activity for including new Versions of Configuration Items into a version control repository.;;5
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Case;subkind;SPO:Document   ;Document containing the input data, expected results, steps and general conditions for testing some situation regarding a Code To Be Tested.;;10
CORE;COM;2.Core:COM:Measurable Entities;Indirectly Measurable Element;;COM:Measurable Element   UFO:Composed Quality Universal   ;Measurable Element that depends on others (its sub-elements) to be measured.; body mass index is an indirectly measurable element measured from weight and height.;2
DOMAIN;CMPO;3.Domain:CMPO;Change Implementation;event;SPO:Performed Composite Activity   ;Activity for implementing the changes requested and approved for a Configuration Item.;;4
DOMAIN;CMPO;3.Domain:CMPO;Change Request Evaluator;role;SPO:Stakeholder   ;Stakeholder responsible for evaluating if a Change Request should be implemented or not.;;1
CORE;SPO;2.Core:SPO:Intended Software Process Definition:Intended Process Structure;Software Project;subkind;RSMO:Measurable Software-Related Entity   EO:Project   ;A Project related to software development or maintenance.;;8
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Moment;;UFO:Endurant   ;;;1
CORE;COM;2.Core:COM:Measure;Basic Measurement Procedure;;COM:Measurement Procedure   ;Measurement Procedure applicable to a Base Measure.; Measurement procedure to collect data for the measure weight in kilos: Use a weighting digital instrument to measure the person weight in kilos. Record the measured value and the measurement date.;1
DOMAIN;CMPO;3.Domain:CMPO;Baseline;subkind;SPO:Information Item   ;Information Item packaging a set of Configuration Items' Versions at a specific time in the product's life (for a product delivery or to establish a relevant point in the Project).; Release 01 Baseline, established for the first delivered product for the client, Planning baseline, established after project planning is established and agreed.;4
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Compliance Program Copy Execution;;RRO:RRT Program Copy Execution   ;A Compliance Program Copy Execution is the execution of a Loaded Compliance Program Copy. It uses Monitoring Runtime Requirement Artifacts as resources to monitor Execution States.;;3
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Set;;UFO:Abstract Thing   ;;;0
